id,name,city,street,lat,lon,latlon_precision,description,child_of,major_category,categories,citations,notes,founded,alt_address,,
1,Los Alamos,"Los Alamos, NM",,35.875556,-106.324167,1,"Laboratory for basic research and weapons design. Code-named ""Site Y.""",,1,"research-design,research-enriched,research-pile",MDH B8V2P1 p. 1.11,"official contract started april 20, 1943",,,,
2,Oak Ridge,"Oak Ridge, TN",,36.013333,-84.2625,1,"Major site for uranium enrichment, reactor research, and administration. Manhattan District Headquarters, Clinton Engineer Works. Code-named ""Site X.""",372,1,"production-enrichment,research-pile,research-enriched",,,,,,
3,Hanford,"Hanford, WA",,46.591789,-119.579119,1,"Plutonium production and separation site. Code-named ""Site W."" The personnel were trained at Clinton Laboratories, operator of the X-10 Pile Project at Clinton Engineer Works, Oak Ridge, TN.",,1,production-plutonium,,,,,,
4,K-25 Diffusion plant,"Oak Ridge, TN",,35.9348,-84.394526,1,Gaseous diffusion uranium enrichment plant,2,1,production-enrichment,,,,,,
5,Y-12 Electromagnetic enrichment plant,"Oak Ridge, TN",,35.988333,-84.254722,1,Electromagnetic uranium enrichment plant,2,1,production-enrichment,,,,,,
6,S-50 Thermal diffusion plant,"Oak Ridge, TN",,35.915549,-84.411793,1,Thermal diffusion uranium enrichment plant,2,1,production-enrichment,,,,,,
7,X-10 Graphite reactor,"Oak Ridge, TN",,35.926347,-84.316463,1,"Graphite research reactor at Oak Ridge, intended as a small-scale pilot plant and training facility for the large-scale plutonium-production plant at Hanford Engineer Works. For 10 months in 1944, it produced small amounts of plutonium, and after that ""other radioactive chemicals"" for the Manhattan Project. Built based on research from the University of Chicago Metallurgical Laboratory, and operated as a branch of the Metallurgical Laboratory under the name Clinton Laboratories until operating contract was awarded to Monsanto Chemical Company on July 1, 1945.",2,1,"research-pile, production-plutonium",MDH B4V2P2 pp. 3.2-3.3,"the day that design of the pile area began: 1943-01-15. The day it began operating: 1943-11-04.  Anyway, the Wikipedia article on this reactor (or you) will give a better description than I ever could. Is production-plutonium a fair tag, even though it was just a pilot for hanford basically?",1943-11-04,,,
8,B Reactor (105-B),"Hanford, WA",,46.630278,-119.6475,1,Plutonium production reactor,3,1,production-plutonium,,,,,,
9,D Reactor (105-D),"Hanford, WA",,46.69308,-119.53544,1,Plutonium production reactor,3,1,production-plutonium,,,,,,
10,F Reactor (105-F),"Hanford, WA",,46.65639,-119.44909,1,Plutonium production reactor,3,1,production-plutonium,,,,,,
11,T Plant (221-T),"Hanford, WA",,46.56101,-119.61882,1,Plutonium reprocessing canyon,3,1,production-plutonium,,,,,,
12,B Plant (221-B),"Hanford, WA",,46.557,-119.54158,1,Plutonium reprocessing canyon,3,1,production-plutonium,,,,,,
13,U Plant (221-U),"Hanford, WA",,46.54602,-119.61934,1,Plutonium reprocessing canyon,3,1,production-plutonium,,,,,,
14,University of California Radiation Laboratory,"Berkeley, CA",,37.874921,-122.252898,1,"Laboratory for fundamental research and electromagnetic enrichment design. Founded by Ernest O. Lawrence in 1936, the Radiation Laboratory's successes included the disc overy of plutonium as a viable fissile material in fast-neutron chain reaction, as well as providing the majority of the research for the Y-12 electromagnetic plant. Of the $19,642,300 spent on research for Y-12, $18,000,000 went to Berkeley.",,2,"research-enrichment,research-design,research-pile,research-general",Hewlett NW ch. 17 p. 628,,1941,,,
15,184-inch cyclotron,"Berkeley, CA",,37.8757,-122.2485,1,"The larger of two particle accelerators at Berkeley used to design electromagnetic separation machines, nearly fives times wider than its 37-inch counterpart. Using this larger cyclotron, researchers at Berkeley proved that electromagnetic separation is possible.",14,2,research-enrichment,Jones MAAB ch. 1 p. 35; MDH B5V1 ,need page number,1942-05,,,
16,University of Chicago Metallurgical Laboratory,"Chicago, IL",,41.79021,-87.59846,1,Laboratory for basic research and reactor design. Operated the X-10 Pile Project at Oak Ridge under the name Clinton Laboratories for security reasons.,,2,"research-pile,research-design,research-general",Hewlett NW ch. 3 p. 55; MDH B4V2P2 pp. 3.1-3.2 ,,1941,,,
17,Chicago Pile-1,"Chicago, IL",,41.792222,-87.600833,1,"First self-perpetuating chain reaction experiment, December 1942",16,2,research-pile,Reed HSMP ch. 5 p. 178,"Construction began this day, but maybe it would be better to put Dec 2, 1942 since that's the day the self-sustaining reaction happened, a more historic date",1942-11-16,,,
18,Project Ames,"Ames, IA",,42.0305,-93.6482,1,Development of methods for producing high-quality uranium metal at Iowa State College. Founded by Frank Spedding as a branch of the Metallurgical Laboratory at the University of Chicago. Committed itself to the magnesium reduction method of uranium production in February 1943 after other methods failed.,16,1,"materials-uranium,uranium-process,research-uranium",Hewlett NW ch. 4 p. 87,,1942,,,
