Date,City,State,Lat,Lon,AreaType,School,Fatalities,Wounded,Dupe,Source,Desc,Year
3/27/1990,Brooklyn,New York,40.6781784,-73.9441579,,C,0,1,,Wikp,"A black youth was taunted with racial slurs by three white youths in the stairwell of a public school in the Bensonhurst area of Brooklyn. The 14-year-old was then shot and slightly wounded, because he had acted as peacemaker when the same boys had clashed with another black teen the month before.[240]",1990
5/20/1990,Centerville,Tennessee,35.7789565,-87.4669587,suburban,HS,1,,,Pah,,1990
8/26/1990,Las Vegas,Nevada,36.1699412,-115.1398296,urban,HS,1,,,Pah,,1990
9/11/1990,San Antonio,Texas,29.4241219,-98.4936282,,HS,0,3,,Wikp,"3 students were wounded when gunfire broke out at Sam Houston High School. The incident took place at 11:55 a.m. and was gang related. 17-year-old John Campbell was wounded in the right foot, 18-year-old Larry Johnson was wounded in the right thigh and calf, and a 16-year-old received a chest wound. 18-year-old Kenneth Wolford, and two other male students were arrested and charged.[241]",1990
1/8/1991,Richardson,Texas,32.9483335,-96.7298519,urban,HS,0,,,Pah,,1991
2/6/1991,Donna,Texas,26.1702,-98.0522,,HS,1,0,,Wikp,15-year-old Raul Calvo shot himself dead while playing Russian roulette inside a biology classroom at Donna High School.[242],1991
4/23/1991,Compton,California,33.8958492,-118.2200712,urban,MS,1,,TRUE,Pah,,1991
9/18/1991,Crosby,Texas,29.9118885,-95.0621512,rural,HS,1,,TRUE,Pah,,1991
10/8/1991,Bronx,New York,40.8447819,-73.8648268,urban,HS,1,,,Pah,,1991
11/1/1991,Iowa City,Iowa,41.6611277,-91.5301683,urban,C,5,,TRUE,Pah,,1991
11/14/1991,Houston,Texas,29.7604267,-95.3698028,urban,HS,0,,,Pah,,1991
11/25/1991,Brooklyn,New York,40.6781784,-73.9441579,urban,HS,1,,TRUE,Pah,,1991
12/12/1991,Kent,Ohio,41.1537,-81.3579,,C,1,0,,Wikp,"51-year-old custodian, John Frazier, was killed outside a campus auditorium of Kent State University.[249]",1991
1/29/1992,Kent,Ohio,41.1537,-81.3579,,C,0,1,,Wikp,"26-year-old graduate student, Sarah Smith, was wounded in the chest as she was waiting for her husband to pick her up at Kent State University.[250]",1992
2/26/1992,Brooklyn,New York,40.6781784,-73.9441579,urban,HS,2,,TRUE,Pah,,1992
5/1/1992,Olivehurst,California,39.0954484,-121.5521858,suburban,HS,4,,TRUE,Pah,,1992
5/14/1992,Napa,California,38.2975381,-122.286865,urban,MS,0,,,Pah,,1992
9/11/1992,Lincoln,Texas,30.2874348,-96.9633164,urban,HS,0,,,Pah,,1992
10/12/1992,Lincoln,Nebraska,40.8257625,-96.6851982,urban,C,0,,,Pah,,1992
10/12/1992,Tucson,Arizona,32.2217429,-110.926479,urban,HS,1,,,Pah,,1992
10/19/1992,The Bronx,New York,40.815304,-73.80185,,HS,0,3,,Wikp,Two 14-year-old girls and a 16-year-old boy were shot at outside a Bronx high school.[252],1992
11/4/1992,Detroit,Michigan,42.331427,-83.0457538,,HS,0,11,,Wikp,"11 students were hit by gunfire during a four-hour period in three separate school incidents, five were hospitalized. Six students at Finney High School were grazed by buckshot after three ski-masked gunmen opened fire in a crowded hallway. A 14-year-old was in custody for shooting three Foch Middle School students as they passed by the Marcus Garvey Academy. In the third incident, 16-year-old DeWayne Boyd was hit in the chest, when shots were fired at two Mumford High School students.[253]",1992
11/10/1992,Chicago,Illinois,41.8781136,-87.6297982,urban,ES,0,,,Pah,,1992
11/13/1992,Houston,Texas,29.7604267,-95.3698028,urban,HS,1,,,Pah,,1992
11/16/1992,Birmingham,Alabama,33.5206608,-86.80249,urban,HS,1,,,Pah,,1992
11/20/1992,Chicago,Illinois,41.8781136,-87.6297982,urban,HS,1,,,Pah,,1992
11/23/1992,Buffalo,New York,42.8864468,-78.8783689,urban,HS,0,,,Pah,,1992
12/3/1992,Chicago,Illinois,41.8781136,-87.6297982,urban,ES,1,,,Pah,,1992
12/14/1992,Great Barrington,Massachusetts,42.1959798,-73.362008,suburban,C,2,,,Pah,,1992
1/6/1993,Brentwood,New York,40.7812,-73.2462,,HS,0,1,,Wikp,"Brentwood High School. Former student, Matthew Hunter, was shot by two gunmen during a basketball game between Brentwood High School and Sachem High School. The assault was over a dispute about the theft of a gold chain.[255]",1993
1/8/1993,Kinzers,Pennsylvania,39.998466,-76.0615923,rural,HS,1,,,Pah,,1993
1/12/1993,Miami,Florida,25.7616798,-80.1917902,urban,HS,1,,,Pah,,1993
1/18/1993,Grayson,Kentucky,38.3325812,-82.9485023,suburban,HS,2,,TRUE,Pah,,1993
1/21/1993,Los Angeles,California,34.0522342,-118.2436849,urban,HS,1,,,Pah,,1993
2/1/1993,Redmond,Washington,47.6739881,-122.121512,urban,MS,1,,,Pah,,1993
2/1/1993,Amityville,New York,40.6789893,-73.4170673,suburban,HS,1,,,Pah,,1993
2/4/1993,Clayton County,Georgia,33.5571944,-84.375233,urban,HS,1,,,Pah,,1993
2/8/1993,Middle River,Minnesota,48.4341394,-96.1641892,rural,MS,1,,,Pah,,1993
2/8/1993,Washington DC,District of Columbia,38.9071923,-77.0368707,urban,HS,1,,,Pah,,1993
2/18/1993,Dallas,Texas,32.7766642,-96.7969879,urban,HS,1,,,Pah,,1993
2/22/1993,Los Angeles,California,34.0522342,-118.2436849,urban,HS,1,,TRUE,Pah,,1993
2/26/1993,Gloucester,Massachusetts,42.6159285,-70.6619888,suburban,HS,0,,,Pah,,1993
3/18/1993,Harlem,Georgia,33.4145834,-82.3126237,suburban,HS,1,,,Pah,,1993
3/25/1993,St. Louis,Missouri,38.6270025,-90.1994042,urban,HS,1,,,Pah,,1993
4/3/1993,Sacramento,California,38.5815719,-121.4943996,urban,HS,1,,,Pah,,1993
4/14/1993,Irving,Texas,32.8140177,-96.9488945,urban,HS,1,,,Pah,,1993
4/15/1993,Acushnet,Massachusetts,41.7223696,-70.8952337,suburban,MS,1,,TRUE,Pah,,1993
4/16/1993,Sacramento,California,38.5815719,-121.4943996,urban,HS,1,,,Pah,,1993
4/26/1993,Raleigh,North Carolina,35.7795897,-78.6381787,urban,HS,1,,,Pah,,1993
5/14/1993,Irving,Texas,32.8140177,-96.9488945,,HS,1,0,,Wikp,"17-year-old Max Alexander Martinez, killed 17-year-old Jose Balderas, with a .38 caliber revolver in a hallway in Nimitz High School during a dispute over girls.[258][259]",1993
5/24/1993,Red Hill,Pennsylvania,40.3728778,-75.4810131,rural,HS,1,,,Pah,,1993
5/24/1993,Pennsburg,Pennsylvania,40.3909,-75.4921,,HS,1,0,,Wikp,15-year-old student Jason Smith killed another student who had bullied him at Upper Perkiomen High School. He was charged as an adult and sentenced to between twelve and twenty-five years in prison.[235][260],1993
5/27/1993,New Orleans,Louisiana,29.9510658,-90.0715323,urban,HS,1,,,Pah,,1993
7/8/1993,Ogden,Utah,41.223,-111.9738304,urban,C,1,,,Pah,,1993
8/31/1993,Atlanta,Georgia,33.7489954,-84.3879824,urban,HS,1,,,Pah,,1993
9/2/1993,Dallas,Texas,32.7766642,-96.7969879,urban,HS,1,,,Pah,,1993
9/18/1993,Sheridan,Wyoming,44.7971939,-106.9561791,suburban,MS,1,,TRUE,Pah,,1993
10/12/1993,New Castle,Delaware,39.6620397,-75.5668166,suburban,HS,1,,,Pah,,1993
10/14/1993,Detroit,Michigan,42.331427,-83.0457538,urban,HS,1,,,Pah,,1993
11/1/1993,Chicago,Illinois,41.8781136,-87.6297982,urban,HS,1,,,Pah,,1993
11/4/1993,Jacksonville,Florida,30.3321838,-81.655651,urban,HS,1,,,Pah,,1993
11/4/1993,New Britain,Connecticut,41.6612104,-72.7795419,urban,HS,1,,TRUE,Pah,,1993
11/5/1993,Bay Springs,Mississippi,31.9790425,-89.2872843,rural,HS,1,,,Pah,,1993
11/29/1993,Kansas City,Missouri,39.0997265,-94.5785667,urban,HS,1,,,Pah,,1993
12/1/1993,Wauwatosa,Wisconsin,43.0494572,-88.0075875,suburban,HS,1,,TRUE,Pah,,1993
12/8/1993,Savannah,Georgia,32.0835407,-81.0998342,urban,HS,1,,,Pah,,1993
12/17/1993,Chelsea,Michigan,42.3180919,-84.0205029,suburban,HS,1,,,Pah,,1993
1/20/1994,Kennard,Texas,31.3596258,-95.1832721,rural,HS,0,,,Pah,,1994
1/20/1994,Hacienda Heights,California,33.9930677,-117.9686755,urban,HS,1,,,Pah,,1994
1/24/1994,Columbia,South Carolina,34.0007104,-81.0348144,,HS,1,0,,Wikp,"18-year-old Floyd Eugene Brown, shot fellow Eau Claire High School student, 17-year-old Earnest Dunlap, following an argument the week before. Brown was arrested shortly after at his home. A 16-year-old boy was also arrested for kicking Dunlap after the shooting.[266]",1994
1/26/1994,Columbia,South Carolina,34.0007104,-81.0348144,urban,HS,1,,,Pah,,1994
1/31/1994,Seattle,Washington,47.6062095,-122.3320708,urban,MS,1,,TRUE,Pah,,1994
2/8/1994,Detroit,Michigan,42.331427,-83.0457538,urban,HS,1,,,Pah,,1994
2/14/1994,Belmont,California,37.5202145,-122.2758008,suburban,HS,1,,,Pah,,1994
2/18/1994,Spartanburg,South Carolina,34.9498,-81.932,,HS,0,1,,Wikp,"At around 10 p.m., 24-year-old Roosevelt Johnson was shot in the leg, after a basketball game at Spartanburg High School.[268]",1994
3/1/1994,Boonville,Missouri,38.9736392,-92.7432418,suburban,C,2,,TRUE,Pah,,1994
3/15/1994,Charleston,South Carolina,32.7764749,-79.9310512,urban,HS,1,,,Pah,,1994
